Model,Size,Time,Partcp_Acc_p15,Command_Acc_p15,Partcp_Acc_p1,Command_Acc_p1,Partcp_Acc_p2,Command_Acc_p2,Partcp_Acc_p3,Command_Acc_p3,Partcp_Acc_p4,Command_Acc_p4,Partcp_Acc_p5,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8
Group,10&s12_20,49.51054175,0.9705,0.9669,0.991,0.964,0.9907,0.9444,0.9304,0.9565,0.9541,0.9725,0.99,1,0.67,0.464,0.3168
Group,10&s12_20,49.54875438,0.9834,0.9669,1,0.955,0.9907,0.9444,0.9826,0.9652,0.945,0.9817,1,0.99,0.65,0.488,0.297
Group,10&s12_20,53.72393972,0.9761,0.9669,0.991,0.982,0.9907,0.9444,0.9739,0.9391,0.945,0.9817,0.98,0.99,0.66,0.488,0.3069
Group,10&s12_20,50.59598905,0.9761,0.9595,1,0.955,0.9815,0.9352,0.9826,0.9565,0.9174,0.9633,1,0.99,0.64,0.456,0.3069
Group,10&s12_20,48.61748,0.9797,0.9632,0.991,0.973,0.9907,0.9352,0.9652,0.9565,0.9541,0.9725,1,0.98,0.65,0.48,0.2475
Group,10&s12_20,47.47637699,0.9834,0.9705,0.991,0.991,0.9815,0.9259,0.9739,0.9739,0.9725,0.9817,1,0.98,0.59,0.472,0.3168
Group,10&s12_20,48.24029611,0.9797,0.9687,1,0.973,0.9907,0.9444,0.9652,0.9565,0.945,0.9817,1,0.99,0.69,0.496,0.3069
Group,10&s2_30,50.35734996,0.9926,0.9705,0.991,0.9369,1,0.9722,1,0.9652,0.9725,0.9908,1,0.99,0.65,0.512,0.3069
Group,10&s2_30,52.44801328,0.9871,0.9669,0.991,0.9459,1,0.963,0.9913,0.9652,0.9633,0.9817,0.99,0.98,0.68,0.496,0.3465
Group,10&s2_30,46.47715275,0.9705,0.965,0.991,0.9459,1,0.9537,0.9652,0.9652,0.9358,0.9725,0.96,0.99,0.63,0.496,0.3663
Group,10&s2_30,50.2881484,0.9871,0.9503,1,0.9099,1,0.9537,0.9826,0.9391,0.9633,0.9725,0.99,0.98,0.66,0.56,0.3168
Group,10&s2_30,51.38080836,0.989,0.9595,1,0.9189,1,0.9537,0.9739,0.9652,0.9817,0.9817,0.99,0.98,0.74,0.52,0.2772
Group,10&s2_30,51.36816664,0.9908,0.9595,0.991,0.9099,1,0.9537,0.9913,0.9652,0.9817,0.9817,0.99,0.99,0.68,0.504,0.2871
Group,10&s2_30,49.38734382,0.9816,0.9595,0.991,0.9369,1,0.963,0.9652,0.9478,0.9633,0.9725,0.99,0.98,0.7,0.536,0.297
Group,10&s2_30,43.17674239,0.9816,0.9669,1,0.9459,1,0.9537,0.9739,0.9652,0.9358,0.9817,1,0.99,0.67,0.48,0.2871
Group,10&s2_30,48.32789633,0.9853,0.9558,0.991,0.9279,1,0.9537,0.9826,0.9391,0.9633,0.9817,0.99,0.98,0.65,0.512,0.297
Group,10&s2_30,47.50903029,0.9816,0.9669,0.991,0.9459,1,0.963,0.9739,0.9652,0.945,0.9817,1,0.98,0.7,0.512,0.2772
Group,10&s1_20&s2_30,54.90355452,0.9779,0.9724,0.982,0.973,1,0.9722,0.9652,0.9565,0.9541,0.9725,0.99,0.99,0.68,0.456,0.2475
Group,10&s1_20&s2_30,47.68398085,0.9797,0.965,0.991,0.982,1,0.9259,0.9739,0.9565,0.9358,0.9725,1,0.99,0.63,0.464,0.2673
