Model,Time,Command_Acc_p15,Command_Acc_p1,Command_Acc_p2,Command_Acc_p3,Command_Acc_p4,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8,Size
Subjet_2,14.890029899775982,0.4549,0.2793,0.9352,0.3652,0.3761,0.32,0.23,0.4,0.3267,30
Subjet_2,15.636124337092042,0.4401,0.2793,0.9444,0.2957,0.3670000000000001,0.32,0.19,0.344,0.2772,30
Subjet_2,16.35927518736571,0.4715,0.2883,0.9352,0.3913,0.4312,0.31,0.26,0.32,0.297,30
Subjet_2,15.138365829363465,0.4346,0.2703,0.9352,0.3217,0.3394,0.31,0.27,0.336,0.2772,30
Subjet_2,18.673173836432397,0.4678,0.3153,0.9352,0.3913,0.3761,0.32,0.25,0.424,0.3465,30
Subjet_2,18.71496723871678,0.4733,0.3243,0.9352,0.4,0.3761,0.33,0.26,0.368,0.2871,30
Subjet_2,16.84609392657876,0.418,0.2432,0.9259,0.2522,0.3761,0.3,0.17,0.28800000000000003,0.3267,30
Subjet_2,18.35438206139952,0.4788,0.2883,0.9444,0.3739,0.4771,0.31,0.28,0.32,0.3069,30
Subjet_3,15.19133547693491,0.6022,0.4955,0.3519,0.9913,0.5963,0.55,0.38,0.464,0.2871,10
Subjet_3,12.644039049744606,0.6335,0.4685,0.4352,0.9826,0.6239,0.64,0.41,0.48,0.3267,10
Subjet_3,13.170690055005252,0.6243,0.5045,0.4074,0.9913,0.6422,0.55,0.34,0.512,0.2772,10
Subjet_3,13.598457412794232,0.6262,0.5495,0.3426,1.0,0.6239,0.59,0.4,0.48,0.3564,10
Subjet_3,12.979792257770894,0.6611,0.5586,0.463,0.9913,0.6055,0.67,0.36,0.456,0.2574,10
Subjet_3,13.904537932947278,0.6409,0.4865,0.3981,1.0,0.6789,0.62,0.4,0.448,0.3366,10
Subjet_3,12.220063629560173,0.6483,0.5045,0.4074,0.9913,0.6789,0.64,0.43,0.44,0.3168,10
Subjet_3,14.08057293947786,0.6317,0.5045,0.3889,0.9913,0.6239,0.63,0.36,0.464,0.3069,10
Subjet_3,12.66556983999908,0.639,0.5495,0.3704,1.0,0.6147,0.64,0.37,0.448,0.2574,10
Subjet_3,13.363397463224828,0.6629999999999999,0.5405,0.3981,1.0,0.6697,0.69,0.33,0.448,0.297,10
Subjet_3,15.07214125432074,0.6667,0.4865,0.4444,1.0,0.6697,0.72,0.32,0.4320000000000001,0.3267,20
Subjet_3,15.829714588820936,0.639,0.4955,0.4074,1.0,0.6422,0.63,0.42,0.44,0.297,20
Subjet_3,14.997546672821045,0.6556,0.5225,0.3241,1.0,0.7156,0.7,0.44,0.4,0.2574,20
Subjet_3,13.388559346087275,0.6427,0.4865,0.4167,1.0,0.6422,0.65,0.29,0.44,0.2376,20
Subjet_3,15.043616793118415,0.6354,0.4685,0.3611,1.0,0.6239,0.71,0.33,0.32,0.1782,20
Subjet_3,15.910140252672136,0.6593,0.4955,0.3611,0.9913,0.7156,0.72,0.32,0.384,0.3267,20
Subjet_3,11.082788727246225,0.5838,0.3964,0.3333,0.9739,0.6697,0.52,0.41,0.4,0.2475,20
Subjet_3,14.793002425692976,0.6427,0.4775,0.3889,0.9913,0.6697,0.67,0.36,0.448,0.3267,20
Subjet_3,14.358195839449765,0.6409,0.5135,0.3611,0.9826,0.6972,0.63,0.4,0.408,0.2475,20
Subjet_3,15.263640305958688,0.6483,0.4775,0.4074,1.0,0.6422,0.7,0.46,0.4320000000000001,0.2376,20
Subjet_3,14.80311230942607,0.6372,0.4775,0.3519,0.9913,0.6881,0.66,0.32,0.392,0.2574,30
Subjet_3,14.64041376952082,0.6519,0.4685,0.3704,0.9913,0.7156,0.7,0.39,0.424,0.2772,30
Subjet_3,16.80096001457423,0.6611,0.5045,0.4167,0.9913,0.7248,0.65,0.41,0.464,0.2772,30
Subjet_3,16.891426909714934,0.6575,0.5045,0.3611,1.0,0.7156,0.69,0.36,0.384,0.2772,30
Subjet_3,14.234880377538502,0.6427,0.4865,0.3519,0.9913,0.7248,0.64,0.34,0.376,0.2475,30
Subjet_3,15.712269131094216,0.6427,0.4865,0.3704,0.9913,0.6972,0.65,0.31,0.408,0.3168,30
