fpr,tpr,Thresholds,Data,Train Size,Speaker Number,Positive,Method
0.346,0.039,0.72777426,Digit Data,40%,30,Unauthorized,flatten_1
0.346,0.04,0.72768104,Digit Data,40%,30,Unauthorized,flatten_1
0.346333333,0.04,0.72757673,Digit Data,40%,30,Unauthorized,flatten_1
0.346333333,0.041,0.7275514,Digit Data,40%,30,Unauthorized,flatten_1
0.348666667,0.041,0.72737646,Digit Data,40%,30,Unauthorized,flatten_1
0.348666667,0.042,0.72725797,Digit Data,40%,30,Unauthorized,flatten_1
0.353333333,0.042,0.7267185,Digit Data,40%,30,Unauthorized,flatten_1
0.353333333,0.043,0.72670853,Digit Data,40%,30,Unauthorized,flatten_1
0.361,0.043,0.7257358,Digit Data,40%,30,Unauthorized,flatten_1
0.361,0.044,0.72571564,Digit Data,40%,30,Unauthorized,flatten_1
0.361333333,0.044,0.7256957,Digit Data,40%,30,Unauthorized,flatten_1
0.361333333,0.045,0.72563106,Digit Data,40%,30,Unauthorized,flatten_1
0.369,0.045,0.7246059,Digit Data,40%,30,Unauthorized,flatten_1
0.369,0.046,0.72454286,Digit Data,40%,30,Unauthorized,flatten_1
0.369333333,0.046,0.72442245,Digit Data,40%,30,Unauthorized,flatten_1
0.369333333,0.047,0.7244073,Digit Data,40%,30,Unauthorized,flatten_1
0.37,0.047,0.72438526,Digit Data,40%,30,Unauthorized,flatten_1
0.37,0.048,0.724371,Digit Data,40%,30,Unauthorized,flatten_1
0.379,0.048,0.72324896,Digit Data,40%,30,Unauthorized,flatten_1
0.379,0.049,0.7232449,Digit Data,40%,30,Unauthorized,flatten_1
0.380333333,0.049,0.7231315,Digit Data,40%,30,Unauthorized,flatten_1
0.380333333,0.05,0.7229817,Digit Data,40%,30,Unauthorized,flatten_1
0.383666667,0.05,0.72266865,Digit Data,40%,30,Unauthorized,flatten_1
0.383666667,0.052,0.722587,Digit Data,40%,30,Unauthorized,flatten_1
0.385333333,0.052,0.7225306,Digit Data,40%,30,Unauthorized,flatten_1
0.385333333,0.055,0.72247005,Digit Data,40%,30,Unauthorized,flatten_1
0.385666667,0.055,0.72245395,Digit Data,40%,30,Unauthorized,flatten_1
0.385666667,0.056,0.72235477,Digit Data,40%,30,Unauthorized,flatten_1
0.386333333,0.056,0.7223108,Digit Data,40%,30,Unauthorized,flatten_1
0.386333333,0.058,0.7222719,Digit Data,40%,30,Unauthorized,flatten_1
0.387,0.058,0.72225654,Digit Data,40%,30,Unauthorized,flatten_1
0.387,0.06,0.7222138,Digit Data,40%,30,Unauthorized,flatten_1
0.388,0.06,0.7221024,Digit Data,40%,30,Unauthorized,flatten_1
0.388,0.062,0.7220309,Digit Data,40%,30,Unauthorized,flatten_1
0.391,0.062,0.7218089,Digit Data,40%,30,Unauthorized,flatten_1
0.391,0.063,0.72178894,Digit Data,40%,30,Unauthorized,flatten_1
0.392,0.063,0.72168773,Digit Data,40%,30,Unauthorized,flatten_1
0.392,0.065,0.72167635,Digit Data,40%,30,Unauthorized,flatten_1
0.398666667,0.065,0.7212433,Digit Data,40%,30,Unauthorized,flatten_1
0.398666667,0.066,0.72120804,Digit Data,40%,30,Unauthorized,flatten_1
0.404,0.066,0.7205039,Digit Data,40%,30,Unauthorized,flatten_1
0.404,0.067,0.72050273,Digit Data,40%,30,Unauthorized,flatten_1
0.408,0.067,0.72020525,Digit Data,40%,30,Unauthorized,flatten_1
0.408,0.068,0.72017026,Digit Data,40%,30,Unauthorized,flatten_1
0.417333333,0.068,0.71922505,Digit Data,40%,30,Unauthorized,flatten_1
0.417333333,0.069,0.7191907,Digit Data,40%,30,Unauthorized,flatten_1
0.426,0.069,0.7184831,Digit Data,40%,30,Unauthorized,flatten_1
0.426,0.071,0.7184558,Digit Data,40%,30,Unauthorized,flatten_1
0.427,0.071,0.7183906,Digit Data,40%,30,Unauthorized,flatten_1
0.427,0.072,0.71826994,Digit Data,40%,30,Unauthorized,flatten_1
0.433,0.072,0.7178941,Digit Data,40%,30,Unauthorized,flatten_1
0.433,0.073,0.71783745,Digit Data,40%,30,Unauthorized,flatten_1
0.437333333,0.073,0.71726155,Digit Data,40%,30,Unauthorized,flatten_1
0.437333333,0.074,0.7172408,Digit Data,40%,30,Unauthorized,flatten_1
0.438,0.074,0.7172247,Digit Data,40%,30,Unauthorized,flatten_1
0.438,0.075,0.71720815,Digit Data,40%,30,Unauthorized,flatten_1
0.438333333,0.075,0.71717393,Digit Data,40%,30,Unauthorized,flatten_1
0.438333333,0.076,0.71716833,Digit Data,40%,30,Unauthorized,flatten_1
