Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
0.975460123,0.8736263740000001,0.18618506,Local Data,20&s2_30,5,conv5_block3_out
0.975460123,0.876033058,0.18723285,Local Data,20&s2_30,5,conv5_block3_out
0.975460123,0.878453039,0.18847138,Local Data,20&s2_30,5,conv5_block3_out
0.975460123,0.8808864270000001,0.18847579,Local Data,20&s2_30,5,conv5_block3_out
0.975460123,0.8833333329999999,0.18915206,Local Data,20&s2_30,5,conv5_block3_out
0.975460123,0.885793872,0.18948811,Local Data,20&s2_30,5,conv5_block3_out
0.972392638,0.88547486,0.19055831,Local Data,20&s2_30,5,conv5_block3_out
0.972392638,0.887955182,0.1905706,Local Data,20&s2_30,5,conv5_block3_out
0.972392638,0.890449438,0.1913228,Local Data,20&s2_30,5,conv5_block3_out
0.972392638,0.8929577459999999,0.19243526,Local Data,20&s2_30,5,conv5_block3_out
0.969325153,0.892655367,0.19285876,Local Data,20&s2_30,5,conv5_block3_out
0.969325153,0.8951841359999999,0.19534200000000002,Local Data,20&s2_30,5,conv5_block3_out
0.9662576690000001,0.8948863640000001,0.195414,Local Data,20&s2_30,5,conv5_block3_out
0.9662576690000001,0.897435897,0.19650882,Local Data,20&s2_30,5,conv5_block3_out
0.963190184,0.8971428570000001,0.1973927,Local Data,20&s2_30,5,conv5_block3_out
0.960122699,0.896848138,0.19761658,Local Data,20&s2_30,5,conv5_block3_out
0.957055215,0.896551724,0.19783449,Local Data,20&s2_30,5,conv5_block3_out
0.95398773,0.896253602,0.1979205,Local Data,20&s2_30,5,conv5_block3_out
0.95398773,0.8988439309999999,0.19823521,Local Data,20&s2_30,5,conv5_block3_out
0.95398773,0.901449275,0.19826812,Local Data,20&s2_30,5,conv5_block3_out
0.95398773,0.9040697670000001,0.19867331,Local Data,20&s2_30,5,conv5_block3_out
0.950920245,0.9037900870000001,0.20080465,Local Data,20&s2_30,5,conv5_block3_out
0.9478527609999999,0.903508772,0.20082259,Local Data,20&s2_30,5,conv5_block3_out
0.944785276,0.9032258059999999,0.20172042,Local Data,20&s2_30,5,conv5_block3_out
0.944785276,0.905882353,0.20226383,Local Data,20&s2_30,5,conv5_block3_out
0.941717791,0.90560472,0.20238501,Local Data,20&s2_30,5,conv5_block3_out
0.941717791,0.9082840240000001,0.20250177,Local Data,20&s2_30,5,conv5_block3_out
0.9386503070000001,0.9080118690000001,0.20316488,Local Data,20&s2_30,5,conv5_block3_out
0.9386503070000001,0.9107142859999999,0.20481259,Local Data,20&s2_30,5,conv5_block3_out
0.9386503070000001,0.9134328359999999,0.20513850000000003,Local Data,20&s2_30,5,conv5_block3_out
0.9386503070000001,0.916167665,0.2057625,Local Data,20&s2_30,5,conv5_block3_out
0.935582822,0.9159159159999999,0.20594168,Local Data,20&s2_30,5,conv5_block3_out
0.935582822,0.9186746990000001,0.20595843,Local Data,20&s2_30,5,conv5_block3_out
0.932515337,0.918429003,0.20634145,Local Data,20&s2_30,5,conv5_block3_out
0.929447853,0.918181818,0.2074349,Local Data,20&s2_30,5,conv5_block3_out
0.929447853,0.920972644,0.20829070000000002,Local Data,20&s2_30,5,conv5_block3_out
0.929447853,0.923780488,0.21000963,Local Data,20&s2_30,5,conv5_block3_out
0.929447853,0.926605505,0.21107209,Local Data,20&s2_30,5,conv5_block3_out
0.926380368,0.926380368,0.21136606,Local Data,20&s2_30,5,conv5_block3_out
0.9233128829999999,0.926153846,0.21222216,Local Data,20&s2_30,5,conv5_block3_out
0.920245399,0.9259259259999999,0.21369231,Local Data,20&s2_30,5,conv5_block3_out
0.920245399,0.92879257,0.21612936,Local Data,20&s2_30,5,conv5_block3_out
0.920245399,0.9316770190000001,0.21641159,Local Data,20&s2_30,5,conv5_block3_out
0.917177914,0.931464174,0.21728283,Local Data,20&s2_30,5,conv5_block3_out
0.9141104290000001,0.93125,0.21803957,Local Data,20&s2_30,5,conv5_block3_out
0.911042945,0.931034483,0.21806562,Local Data,20&s2_30,5,conv5_block3_out
0.90797546,0.93081761,0.21808434,Local Data,20&s2_30,5,conv5_block3_out
0.90797546,0.9337539429999999,0.21823448,Local Data,20&s2_30,5,conv5_block3_out
0.904907975,0.9335443040000001,0.21877831,Local Data,20&s2_30,5,conv5_block3_out
0.904907975,0.936507937,0.21900529,Local Data,20&s2_30,5,conv5_block3_out
0.901840491,0.936305732,0.21925086,Local Data,20&s2_30,5,conv5_block3_out
0.898773006,0.936102236,0.21982312,Local Data,20&s2_30,5,conv5_block3_out
0.8957055209999999,0.935897436,0.21984941,Local Data,20&s2_30,5,conv5_block3_out
0.892638037,0.9356913179999999,0.21989441,Local Data,20&s2_30,5,conv5_block3_out
0.892638037,0.9387096770000001,0.22004634,Local Data,20&s2_30,5,conv5_block3_out
0.892638037,0.941747573,0.22011644,Local Data,20&s2_30,5,conv5_block3_out
0.892638037,0.944805195,0.22188497,Local Data,20&s2_30,5,conv5_block3_out
0.892638037,0.947882736,0.22344238,Local Data,20&s2_30,5,conv5_block3_out
0.892638037,0.9509803920000001,0.22374672,Local Data,20&s2_30,5,conv5_block3_out
0.889570552,0.9508196720000001,0.22432727,Local Data,20&s2_30,5,conv5_block3_out
0.889570552,0.953947368,0.22478473,Local Data,20&s2_30,5,conv5_block3_out
0.886503067,0.95379538,0.22543496,Local Data,20&s2_30,5,conv5_block3_out
0.883435583,0.953642384,0.2256915,Local Data,20&s2_30,5,conv5_block3_out
0.8803680979999999,0.953488372,0.22629881,Local Data,20&s2_30,5,conv5_block3_out
0.877300613,0.953333333,0.22723913,Local Data,20&s2_30,5,conv5_block3_out
0.874233129,0.953177258,0.22932243,Local Data,20&s2_30,5,conv5_block3_out
0.8711656440000001,0.9530201340000001,0.22979498,Local Data,20&s2_30,5,conv5_block3_out
0.8711656440000001,0.9562289559999999,0.23107022,Local Data,20&s2_30,5,conv5_block3_out
0.86809816,0.9560810809999999,0.23128307,Local Data,20&s2_30,5,conv5_block3_out
0.865030675,0.9559322029999999,0.23166013,Local Data,20&s2_30,5,conv5_block3_out
0.86196319,0.9557823129999999,0.23204905,Local Data,20&s2_30,5,conv5_block3_out
0.86196319,0.959044369,0.23350370000000004,Local Data,20&s2_30,5,conv5_block3_out
0.858895706,0.95890411,0.23446196,Local Data,20&s2_30,5,conv5_block3_out
0.8558282209999999,0.958762887,0.23568904,Local Data,20&s2_30,5,conv5_block3_out
0.8527607359999999,0.95862069,0.23576927,Local Data,20&s2_30,5,conv5_block3_out
0.849693252,0.9584775090000001,0.23616856,Local Data,20&s2_30,5,conv5_block3_out
0.846625767,0.958333333,0.23691905,Local Data,20&s2_30,5,conv5_block3_out
0.846625767,0.9616724740000001,0.23720872,Local Data,20&s2_30,5,conv5_block3_out
0.843558282,0.961538462,0.23766959,Local Data,20&s2_30,5,conv5_block3_out
