Subject_No,add_data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
17,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,1.0,0.99,0.99,1.0,0.99,1.0,1.0,0.99,0.99,0.97,0.99,0.99,1.0,0.89,1.0,0.98,1.0,0.98,0.96,0.99,0.97,1.0,0.9,0.99,0.95,0.88,0.99,1.0,1.0,0.85,0.98,0.96,0.97,0.99,0.98,0.99,1.0,0.89,1.0,0.98,1.0,0.99,1.0,0.99,0.86,1.0,0.97,0.8
18,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.99,0.97,0.98,1.0,0.99,1.0,1.0,0.99,0.8,0.98,1.0,1.0,0.99,0.97,1.0,1.0,1.0,0.92,1.0,0.96,0.92,1.0,1.0,0.99,0.85,0.96,1.0,0.99,0.99,0.99,0.99,0.99,0.92,1.0,0.99,1.0,0.98,1.0,0.96,0.89,1.0,0.98,0.83
19,10%,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.98,0.98,1.0,0.79,1.0,1.0,0.99,0.97,0.98,0.99,0.99,1.0,0.95,0.99,0.96,0.93,0.99,1.0,0.99,0.85,0.98,1.0,0.98,0.99,0.97,1.0,0.98,0.91,1.0,0.96,1.0,0.96,1.0,0.99,0.9,1.0,0.97,0.87
20,10%,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.99,1.0,0.99,0.99,0.98,1.0,0.77,1.0,0.96,0.99,0.96,0.97,1.0,0.99,1.0,0.97,0.99,0.96,0.9,0.99,1.0,0.99,0.8,0.95,0.99,0.97,0.98,0.98,1.0,0.98,0.89,1.0,0.98,1.0,0.98,1.0,1.0,0.89,1.0,0.92,0.85
21,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.98,0.97,0.99,1.0,0.74,1.0,0.97,0.98,0.97,0.99,1.0,1.0,1.0,0.97,0.99,0.96,0.86,0.99,1.0,0.98,0.82,0.99,1.0,0.99,0.99,0.97,1.0,0.99,0.91,1.0,0.96,1.0,1.0,1.0,0.99,0.89,1.0,0.98,0.88
22,10%,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.98,0.99,1.0,0.83,1.0,0.98,0.99,0.97,1.0,1.0,0.99,1.0,0.97,0.99,0.96,0.92,0.99,1.0,0.97,0.79,0.99,1.0,0.99,0.99,0.97,1.0,0.99,0.89,1.0,0.98,1.0,1.0,1.0,0.99,0.91,1.0,0.95,0.89
23,10%,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.86,1.0,0.99,0.99,0.98,1.0,1.0,1.0,1.0,0.97,0.99,0.96,0.92,0.99,1.0,0.98,0.79,0.96,0.99,0.99,0.99,0.97,1.0,0.99,0.91,1.0,0.98,1.0,0.98,0.99,1.0,0.9,1.0,0.98,0.91
24,10%,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.91,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,0.95,0.99,0.96,0.83,0.98,1.0,0.99,0.8,0.97,1.0,1.0,0.98,0.97,1.0,1.0,0.91,0.99,0.99,1.0,0.99,1.0,1.0,0.91,1.0,0.98,0.88
25,10%,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.94,1.0,0.99,1.0,0.98,0.99,1.0,1.0,1.0,0.96,0.98,0.97,0.9,0.98,1.0,0.97,0.78,0.99,1.0,1.0,0.99,0.98,1.0,1.0,0.91,1.0,0.99,1.0,1.0,1.0,0.99,0.89,1.0,0.97,0.91
26,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.99,1.0,1.0,1.0,0.96,1.0,0.98,0.88,1.0,1.0,0.99,0.82,0.94,1.0,1.0,0.98,0.98,1.0,1.0,0.91,1.0,0.94,1.0,1.0,1.0,0.99,0.86,1.0,0.93,0.91
27,10%,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.99,1.0,1.0,1.0,0.97,0.99,0.99,0.92,0.99,1.0,1.0,0.81,0.97,1.0,0.99,0.98,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.92,0.9
28,10%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.99,1.0,1.0,1.0,0.96,1.0,0.99,0.94,0.98,1.0,1.0,0.83,0.98,1.0,0.98,0.98,0.98,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,0.99,0.9,1.0,0.94,0.87
29,10%,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.99,1.0,0.99,1.0,0.98,0.99,0.97,0.94,0.98,1.0,1.0,0.81,0.96,0.99,0.98,0.99,0.98,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.99,0.9,1.0,0.94,0.87
30,10%,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0,0.96,0.91,0.97,1.0,1.0,0.83,0.98,1.0,0.99,0.99,0.99,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,0.89,1.0,0.97,0.89
