fpr,tpr,Thresholds,Data,Train Size,Speaker Number,Positive,Method
0.533666667,0.119,0.7077659000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.535,0.119,0.7076123000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.535,0.121,0.70756567,Digit Data,40%,30,Unauthorized,flatten_1
0.538333333,0.121,0.70734215,Digit Data,40%,30,Unauthorized,flatten_1
0.538333333,0.123,0.7072755000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.543333333,0.123,0.706853,Digit Data,40%,30,Unauthorized,flatten_1
0.543333333,0.124,0.706836,Digit Data,40%,30,Unauthorized,flatten_1
0.547333333,0.124,0.70642483,Digit Data,40%,30,Unauthorized,flatten_1
0.547333333,0.125,0.7062143,Digit Data,40%,30,Unauthorized,flatten_1
0.550666667,0.125,0.70575523,Digit Data,40%,30,Unauthorized,flatten_1
0.550666667,0.126,0.7057469,Digit Data,40%,30,Unauthorized,flatten_1
0.552,0.126,0.70563865,Digit Data,40%,30,Unauthorized,flatten_1
0.552,0.127,0.70563555,Digit Data,40%,30,Unauthorized,flatten_1
0.552333333,0.127,0.7056222,Digit Data,40%,30,Unauthorized,flatten_1
0.552333333,0.128,0.7056085,Digit Data,40%,30,Unauthorized,flatten_1
0.5539999999999999,0.128,0.70537436,Digit Data,40%,30,Unauthorized,flatten_1
0.5539999999999999,0.129,0.7052641,Digit Data,40%,30,Unauthorized,flatten_1
0.554333333,0.129,0.70525926,Digit Data,40%,30,Unauthorized,flatten_1
0.554333333,0.13,0.7052331000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.556666667,0.13,0.70495045,Digit Data,40%,30,Unauthorized,flatten_1
0.556666667,0.133,0.7048922,Digit Data,40%,30,Unauthorized,flatten_1
0.557,0.133,0.7048787,Digit Data,40%,30,Unauthorized,flatten_1
0.557,0.134,0.70479596,Digit Data,40%,30,Unauthorized,flatten_1
0.558666667,0.134,0.7045733000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.558666667,0.135,0.70449173,Digit Data,40%,30,Unauthorized,flatten_1
0.560666667,0.135,0.7041143,Digit Data,40%,30,Unauthorized,flatten_1
0.560666667,0.136,0.7040888000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.561333333,0.136,0.70404077,Digit Data,40%,30,Unauthorized,flatten_1
0.561333333,0.138,0.7039368,Digit Data,40%,30,Unauthorized,flatten_1
0.565333333,0.138,0.70355785,Digit Data,40%,30,Unauthorized,flatten_1
0.565333333,0.139,0.7035358,Digit Data,40%,30,Unauthorized,flatten_1
0.566333333,0.139,0.70334005,Digit Data,40%,30,Unauthorized,flatten_1
0.566333333,0.142,0.70318884,Digit Data,40%,30,Unauthorized,flatten_1
0.566666667,0.142,0.70310754,Digit Data,40%,30,Unauthorized,flatten_1
0.566666667,0.14300000000000002,0.70304275,Digit Data,40%,30,Unauthorized,flatten_1
0.5670000000000001,0.14300000000000002,0.7029557,Digit Data,40%,30,Unauthorized,flatten_1
0.5670000000000001,0.14400000000000002,0.7029065,Digit Data,40%,30,Unauthorized,flatten_1
0.567333333,0.14400000000000002,0.70290416,Digit Data,40%,30,Unauthorized,flatten_1
0.567333333,0.145,0.7028618000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.568,0.145,0.7027966999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.568,0.146,0.7027270999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.568666667,0.146,0.7026758000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.568666667,0.147,0.7026701999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.569,0.147,0.70265746,Digit Data,40%,30,Unauthorized,flatten_1
0.569,0.14800000000000002,0.7026475000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.569666667,0.14800000000000002,0.70256466,Digit Data,40%,30,Unauthorized,flatten_1
0.569666667,0.149,0.70254886,Digit Data,40%,30,Unauthorized,flatten_1
0.572333333,0.149,0.7021103,Digit Data,40%,30,Unauthorized,flatten_1
0.572333333,0.151,0.7020767,Digit Data,40%,30,Unauthorized,flatten_1
0.575666667,0.151,0.7017913,Digit Data,40%,30,Unauthorized,flatten_1
0.575666667,0.152,0.70177186,Digit Data,40%,30,Unauthorized,flatten_1
0.580333333,0.152,0.7012649000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.580333333,0.153,0.7012553,Digit Data,40%,30,Unauthorized,flatten_1
0.581,0.153,0.7011305,Digit Data,40%,30,Unauthorized,flatten_1
0.581,0.154,0.70105314,Digit Data,40%,30,Unauthorized,flatten_1
0.581666667,0.154,0.70087427,Digit Data,40%,30,Unauthorized,flatten_1
0.581666667,0.158,0.7007220000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.583666667,0.158,0.70043623,Digit Data,40%,30,Unauthorized,flatten_1
0.583666667,0.159,0.7004081,Digit Data,40%,30,Unauthorized,flatten_1
0.585,0.159,0.70018196,Digit Data,40%,30,Unauthorized,flatten_1
0.585,0.16,0.70018023,Digit Data,40%,30,Unauthorized,flatten_1
0.586333333,0.16,0.7000381999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.586333333,0.162,0.6999514,Digit Data,40%,30,Unauthorized,flatten_1
0.5870000000000001,0.162,0.6998944,Digit Data,40%,30,Unauthorized,flatten_1
0.5870000000000001,0.16399999999999998,0.6998863000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.589,0.16399999999999998,0.699612,Digit Data,40%,30,Unauthorized,flatten_1
0.589,0.165,0.6995994000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.589666667,0.165,0.6995591,Digit Data,40%,30,Unauthorized,flatten_1
0.589666667,0.16699999999999998,0.6995175,Digit Data,40%,30,Unauthorized,flatten_1
0.591,0.16699999999999998,0.6993885999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.591,0.168,0.6993829,Digit Data,40%,30,Unauthorized,flatten_1
0.5920000000000001,0.168,0.6991651,Digit Data,40%,30,Unauthorized,flatten_1
0.5920000000000001,0.17,0.6991045,Digit Data,40%,30,Unauthorized,flatten_1
0.592666667,0.17,0.69906366,Digit Data,40%,30,Unauthorized,flatten_1
0.592666667,0.171,0.69905037,Digit Data,40%,30,Unauthorized,flatten_1
0.593333333,0.171,0.69897306,Digit Data,40%,30,Unauthorized,flatten_1
0.593333333,0.172,0.69897103,Digit Data,40%,30,Unauthorized,flatten_1
0.594333333,0.172,0.6988627,Digit Data,40%,30,Unauthorized,flatten_1
0.594333333,0.173,0.6988045,Digit Data,40%,30,Unauthorized,flatten_1
0.595333333,0.173,0.6987196,Digit Data,40%,30,Unauthorized,flatten_1
0.595333333,0.175,0.6986604999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.595666667,0.175,0.69865525,Digit Data,40%,30,Unauthorized,flatten_1
0.595666667,0.177,0.6986338000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.596,0.177,0.69857514,Digit Data,40%,30,Unauthorized,flatten_1
0.596,0.179,0.69854087,Digit Data,40%,30,Unauthorized,flatten_1
0.596333333,0.179,0.69850826,Digit Data,40%,30,Unauthorized,flatten_1
0.596333333,0.18,0.69844913,Digit Data,40%,30,Unauthorized,flatten_1
0.597,0.18,0.69836676,Digit Data,40%,30,Unauthorized,flatten_1
0.597,0.181,0.698362,Digit Data,40%,30,Unauthorized,flatten_1
0.599666667,0.181,0.6979835999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.599666667,0.182,0.69795644,Digit Data,40%,30,Unauthorized,flatten_1
0.6,0.182,0.6978854,Digit Data,40%,30,Unauthorized,flatten_1
0.6,0.183,0.69779336,Digit Data,40%,30,Unauthorized,flatten_1
0.600666667,0.183,0.6975712,Digit Data,40%,30,Unauthorized,flatten_1
0.600666667,0.184,0.6975214,Digit Data,40%,30,Unauthorized,flatten_1
0.601666667,0.184,0.6973906999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.601666667,0.185,0.6973349,Digit Data,40%,30,Unauthorized,flatten_1
0.602666667,0.185,0.69724166,Digit Data,40%,30,Unauthorized,flatten_1
0.602666667,0.18600000000000005,0.6972262,Digit Data,40%,30,Unauthorized,flatten_1
0.603,0.18600000000000005,0.6971208999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.603,0.187,0.69705194,Digit Data,40%,30,Unauthorized,flatten_1
