Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
0.998,0.3653001464128843,0.82107943,Digit Data,40%,5,conv5_block3_out
0.998,0.3655677655677656,0.82134575,Digit Data,40%,5,conv5_block3_out
0.998,0.3658357771260997,0.8216551999999999,Digit Data,40%,5,conv5_block3_out
0.998,0.3661041819515774,0.82166475,Digit Data,40%,5,conv5_block3_out
0.998,0.36637298091042586,0.82186073,Digit Data,40%,5,conv5_block3_out
0.998,0.3666421748714181,0.8219299000000001,Digit Data,40%,5,conv5_block3_out
0.998,0.3669117647058823,0.8219388000000001,Digit Data,40%,5,conv5_block3_out
0.996,0.3664459161147903,0.82199025,Digit Data,40%,5,conv5_block3_out
0.996,0.36671575846833576,0.82223934,Digit Data,40%,5,conv5_block3_out
0.996,0.3669859985261607,0.82232857,Digit Data,40%,5,conv5_block3_out
0.996,0.3672566371681416,0.8223729999999999,Digit Data,40%,5,conv5_block3_out
0.996,0.3675276752767528,0.8224195,Digit Data,40%,5,conv5_block3_out
0.996,0.36779911373707536,0.8225909,Digit Data,40%,5,conv5_block3_out
0.996,0.3680709534368071,0.8227299000000001,Digit Data,40%,5,conv5_block3_out
0.996,0.3683431952662722,0.8227855,Digit Data,40%,5,conv5_block3_out
0.996,0.3686158401184308,0.82291687,Digit Data,40%,5,conv5_block3_out
0.996,0.3688888888888889,0.822968,Digit Data,40%,5,conv5_block3_out
0.996,0.3691623424759081,0.8229848,Digit Data,40%,5,conv5_block3_out
0.996,0.3694362017804154,0.8234699000000001,Digit Data,40%,5,conv5_block3_out
0.996,0.36971046770601335,0.82350856,Digit Data,40%,5,conv5_block3_out
0.996,0.3699851411589896,0.8237148999999999,Digit Data,40%,5,conv5_block3_out
0.996,0.3702602230483271,0.8238780000000001,Digit Data,40%,5,conv5_block3_out
0.996,0.3705357142857143,0.82417357,Digit Data,40%,5,conv5_block3_out
0.996,0.3708116157855547,0.8245904000000001,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3703427719821161,0.8247211999999999,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3706189410887398,0.82486886,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3708955223880597,0.8250371,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3711725168035848,0.8250472,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3714499252615844,0.82522005,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3717277486910995,0.82531047,Digit Data,40%,5,conv5_block3_out
0.9940000000000001,0.3720059880239521,0.8254463,Digit Data,40%,5,conv5_block3_out
0.992,0.3715355805243445,0.8255233000000001,Digit Data,40%,5,conv5_block3_out
0.992,0.3718140929535233,0.8255713,Digit Data,40%,5,conv5_block3_out
0.992,0.372093023255814,0.82560426,Digit Data,40%,5,conv5_block3_out
0.992,0.3723723723723724,0.8256279000000001,Digit Data,40%,5,conv5_block3_out
0.992,0.37265214124718254,0.82571936,Digit Data,40%,5,conv5_block3_out
0.992,0.3729323308270677,0.8258471,Digit Data,40%,5,conv5_block3_out
0.992,0.3732129420617005,0.8258701999999999,Digit Data,40%,5,conv5_block3_out
0.992,0.3734939759036144,0.8259903000000001,Digit Data,40%,5,conv5_block3_out
0.992,0.373775433308214,0.8260714,Digit Data,40%,5,conv5_block3_out
0.992,0.3740573152337858,0.8261973,Digit Data,40%,5,conv5_block3_out
0.992,0.37433962264150944,0.82626945,Digit Data,40%,5,conv5_block3_out
0.992,0.37462235649546827,0.82639456,Digit Data,40%,5,conv5_block3_out
0.992,0.3749055177626606,0.82647705,Digit Data,40%,5,conv5_block3_out
0.992,0.3751891074130106,0.8266515999999999,Digit Data,40%,5,conv5_block3_out
0.992,0.3754731264193792,0.8266644000000001,Digit Data,40%,5,conv5_block3_out
0.992,0.3757575757575757,0.826693,Digit Data,40%,5,conv5_block3_out
0.992,0.3760424564063685,0.82676506,Digit Data,40%,5,conv5_block3_out
0.992,0.3763277693474962,0.82692266,Digit Data,40%,5,conv5_block3_out
0.99,0.3758542141230069,0.82692987,Digit Data,40%,5,conv5_block3_out
0.99,0.3761398176291793,0.82716477,Digit Data,40%,5,conv5_block3_out
0.99,0.376425855513308,0.8273799999999999,Digit Data,40%,5,conv5_block3_out
0.99,0.3767123287671233,0.8273991,Digit Data,40%,5,conv5_block3_out
0.99,0.376999238385377,0.82742333,Digit Data,40%,5,conv5_block3_out
0.99,0.3772865853658536,0.82749903,Digit Data,40%,5,conv5_block3_out
0.99,0.37757437070938216,0.82755286,Digit Data,40%,5,conv5_block3_out
0.99,0.37786259541984735,0.8276494000000001,Digit Data,40%,5,conv5_block3_out
0.99,0.3781512605042017,0.82766664,Digit Data,40%,5,conv5_block3_out
0.99,0.37844036697247707,0.8280318000000001,Digit Data,40%,5,conv5_block3_out
0.99,0.3787299158377965,0.8281378,Digit Data,40%,5,conv5_block3_out
0.99,0.3790199081163859,0.8282184000000001,Digit Data,40%,5,conv5_block3_out
0.99,0.3793103448275862,0.828391,Digit Data,40%,5,conv5_block3_out
0.99,0.379601226993865,0.82848567,Digit Data,40%,5,conv5_block3_out
0.99,0.3798925556408289,0.8285302,Digit Data,40%,5,conv5_block3_out
0.99,0.38018433179723504,0.82925457,Digit Data,40%,5,conv5_block3_out
0.99,0.38047655649500384,0.829341,Digit Data,40%,5,conv5_block3_out
0.99,0.3807692307692308,0.82944447,Digit Data,40%,5,conv5_block3_out
0.99,0.3810623556581986,0.82944804,Digit Data,40%,5,conv5_block3_out
0.988,0.3805855161787365,0.82947725,Digit Data,40%,5,conv5_block3_out
